iter	Passed	Remaining
0	128	128014
1	129	64641
2	131	43696
3	132	33087
4	133	26663
5	135	22421
6	137	19464
7	139	17292
8	141	15539
9	142	14132
10	144	12988
11	146	12026
12	147	11233
13	150	10587
14	152	9997
15	154	9503
16	156	9038
17	160	8742
18	161	8352
19	163	7995
20	164	7676
21	166	7388
22	167	7134
23	169	6890
24	170	6659
25	172	6473
26	174	6291
27	175	6107
28	177	5942
29	179	5813
30	181	5681
31	183	5538
32	185	5439
33	187	5328
34	190	5238
35	193	5168
36	194	5063
37	197	4991
38	199	4927
39	202	4862
40	207	4863
41	209	4780
42	213	4741
43	215	4686
44	218	4638
45	220	4565
46	221	4496
47	223	4423
48	226	4390
49	229	4355
50	230	4291
51	232	4236
52	234	4181
53	235	4120
54	236	4065
55	238	4017
56	240	3985
57	243	3955
58	245	3909
59	246	3860
60	247	3816
61	249	3773
62	251	3736
63	253	3708
64	255	3672
65	257	3646
66	258	3605
67	259	3561
68	261	3526
69	264	3512
70	267	3504
71	269	3479
72	271	3451
73	273	3417
74	274	3382
75	275	3351
76	276	3319
77	278	3291
78	280	3266
79	283	3263
80	285	3242
81	287	3215
82	288	3190
83	290	3165
84	291	3136
85	293	3116
86	294	3089
87	296	3073
88	298	3054
89	299	3031
90	301	3011
91	302	2987
92	304	2967
93	307	2961
94	308	2939
95	310	2926
96	312	2908
97	313	2889
98	315	2869
99	316	2850
100	318	2837
101	319	2813
102	321	2795
103	322	2778
104	323	2761
105	326	2749
106	327	2737
107	329	2720
108	330	2705
109	332	2690
110	335	2690
111	337	2678
112	339	2667
113	341	2653
114	342	2637
115	343	2620
116	345	2605
117	346	2591
118	347	2575
119	349	2561
120	350	2548
121	352	2536
122	354	2526
123	356	2516
124	357	2503
125	358	2489
126	360	2475
127	370	2526
128	373	2523
129	375	2515
130	378	2513
131	381	2507
132	383	2498
133	386	2495
134	388	2486
135	390	2477
136	391	2468
137	393	2456
138	394	2445
139	396	2437
140	400	2440
141	403	2439
142	405	2432
143	407	2423
144	409	2413
145	411	2406
146	412	2396
147	416	2395
148	418	2389
149	421	2387
150	423	2378
151	424	2367
152	427	2364
153	429	2362
154	432	2358
155	434	2352
156	436	2344
157	438	2334
158	439	2326
159	441	2316
160	443	2313
161	446	2307
162	447	2298
163	449	2289
164	451	2284
165	453	2280
166	455	2273
167	459	2274
168	461	2268
169	463	2261
170	464	2251
171	465	2242
172	468	2238
173	469	2230
174	472	2226
175	474	2223
176	477	2219
177	478	2210
178	480	2204
179	483	2202
180	484	2193
181	487	2191
182	490	2187
183	494	2192
184	497	2190
185	499	2187
186	502	2185
187	504	2178
188	505	2170
189	507	2162
190	510	2160
191	511	2153
192	513	2146
193	515	2142
194	517	2135
195	518	2127
196	519	2119
197	521	2110
198	523	2105
199	524	2097
200	525	2089
201	526	2081
202	529	2078
203	531	2072
204	532	2064
205	533	2056
206	534	2048
207	537	2045
208	538	2039
209	541	2035
210	544	2034
211	547	2035
212	549	2029
213	550	2022
214	551	2014
215	553	2007
216	554	2000
217	555	1992
218	556	1985
219	560	1987
220	562	1981
221	563	1974
222	564	1967
223	565	1960
224	567	1954
225	568	1947
226	569	1939
227	570	1932
228	573	1930
229	576	1931
230	578	1927
231	580	1921
232	581	1915
233	582	1908
234	584	1901
235	585	1894
236	586	1888
237	591	1893
238	593	1889
239	594	1883
240	596	1877
241	597	1870
242	598	1865
243	600	1859
244	601	1853
245	603	1849
246	605	1845
247	607	1843
248	609	1837
249	610	1831
250	611	1824
251	612	1818
252	613	1812
253	615	1806
254	616	1802
255	618	1798
256	620	1792
257	621	1786
258	622	1782
259	624	1776
260	625	1771
261	626	1764
262	627	1758
263	628	1753
264	630	1747
265	632	1744
266	633	1740
267	635	1734
268	636	1730
269	637	1724
270	638	1718
271	640	1713
272	641	1707
273	642	1702
274	643	1697
275	644	1691
276	646	1687
277	647	1682
278	649	1677
279	650	1673
280	651	1667
281	653	1662
282	654	1657
283	655	1651
284	656	1646
285	657	1641
286	658	1636
287	660	1632
288	661	1628
289	663	1623
290	664	1618
291	665	1613
292	666	1608
293	667	1603
294	668	1598
295	670	1593
296	672	1590
297	673	1586
298	674	1581
299	676	1577
300	677	1573
301	678	1568
302	679	1564
303	681	1559
304	682	1554
305	683	1549
306	684	1545
307	685	1540
308	686	1536
309	688	1531
310	689	1527
311	690	1523
312	692	1518
313	693	1514
314	694	1510
315	695	1505
316	696	1501
317	697	1496
318	699	1492
319	700	1488
320	701	1484
321	702	1480
322	704	1477
323	706	1473
324	707	1469
325	708	1465
326	709	1460
327	710	1456
328	712	1452
329	713	1448
330	714	1444
331	715	1440
332	717	1436
333	718	1432
334	719	1428
335	721	1426
336	723	1423
337	724	1419
338	725	1415
339	727	1411
340	728	1407
341	729	1404
342	731	1400
343	732	1396
344	733	1392
345	735	1389
346	736	1386
347	738	1383
348	739	1380
349	741	1376
350	742	1373
351	744	1369
352	745	1365
353	746	1362
354	747	1358
355	749	1356
356	750	1352
357	752	1348
358	753	1345
359	754	1341
360	755	1338
361	757	1334
362	758	1330
363	759	1326
364	760	1323
365	761	1319
366	762	1315
367	764	1312
368	766	1309
369	767	1306
370	768	1303
371	769	1299
372	771	1296
373	773	1294
374	774	1291
375	775	1287
376	776	1283
377	777	1280
378	779	1277
379	780	1273
380	781	1269
381	782	1266
382	783	1262
383	785	1259
384	788	1258
385	790	1257
386	791	1253
387	793	1250
388	795	1250
389	797	1247
390	799	1245
391	800	1242
392	802	1239
393	803	1235
394	804	1232
395	805	1229
396	807	1226
397	809	1223
398	810	1221
399	812	1218
400	813	1215
401	814	1211
402	815	1208
403	817	1205
404	818	1202
405	819	1198
406	820	1195
407	822	1193
408	824	1191
409	826	1188
410	827	1186
411	829	1183
412	830	1180
413	831	1177
414	833	1174
415	834	1171
416	836	1168
417	837	1165
418	838	1163
419	840	1160
420	841	1157
421	842	1154
422	843	1151
423	845	1148
424	848	1147
425	849	1145
426	851	1142
427	852	1139
428	853	1136
429	855	1133
430	856	1130
431	857	1127
432	859	1125
433	862	1124
434	863	1121
435	864	1118
436	866	1116
437	867	1113
438	868	1110
439	870	1107
440	872	1106
441	873	1103
442	874	1100
443	876	1097
444	877	1094
445	878	1091
446	879	1088
447	881	1085
448	882	1083
449	884	1080
450	885	1077
451	886	1074
452	887	1071
453	888	1069
454	890	1066
455	891	1063
456	892	1060
457	893	1057
458	895	1055
459	896	1052
460	898	1050
461	899	1047
462	900	1044
463	901	1041
464	903	1038
465	904	1036
466	905	1033
467	906	1030
468	907	1027
469	908	1024
470	909	1021
471	911	1019
472	912	1016
473	913	1013
474	915	1011
475	916	1008
476	917	1005
477	918	1003
478	919	1000
479	921	997
480	922	995
481	924	993
482	925	990
483	926	988
484	928	985
485	929	983
486	930	980
487	931	977
488	933	975
489	934	972
490	935	969
491	936	967
492	938	964
493	939	961
494	940	959
495	942	957
496	943	954
497	944	952
498	945	949
499	946	946
500	947	944
501	948	941
502	950	938
503	951	936
504	952	933
505	953	930
506	954	928
507	956	926
508	957	923
509	959	921
510	960	919
511	961	916
512	963	914
513	964	911
514	965	909
515	967	907
516	969	905
517	971	903
518	972	901
519	973	898
520	974	895
521	976	893
522	977	891
523	979	889
524	980	886
525	981	884
526	982	882
527	983	879
528	985	877
529	986	875
530	988	872
531	989	870
532	990	867
533	991	865
534	992	862
535	993	860
536	995	858
537	996	855
538	997	853
539	998	850
540	999	848
541	1001	846
542	1002	843
543	1003	841
544	1004	838
545	1005	836
546	1006	833
547	1008	831
548	1009	829
549	1010	826
550	1011	824
551	1012	821
552	1014	819
553	1015	817
554	1017	815
555	1018	813
556	1020	811
557	1021	808
558	1022	806
559	1023	804
560	1024	801
561	1025	799
562	1026	797
563	1028	794
564	1029	792
565	1031	790
566	1032	788
567	1034	786
568	1035	784
569	1036	781
570	1037	779
571	1039	777
572	1040	775
573	1041	773
574	1043	771
575	1046	770
576	1049	769
577	1051	767
578	1052	765
579	1053	763
580	1055	760
581	1056	758
582	1057	756
583	1059	754
584	1061	752
585	1062	750
586	1063	748
587	1064	745
588	1065	743
589	1066	741
590	1067	738
591	1068	736
592	1069	734
593	1070	731
594	1074	731
595	1075	729
596	1076	726
597	1077	724
598	1078	722
599	1079	719
600	1080	717
601	1081	715
602	1083	713
603	1084	710
604	1085	708
605	1087	706
606	1089	705
607	1090	703
608	1091	700
609	1093	698
610	1094	696
611	1095	694
612	1096	692
613	1097	690
614	1099	688
615	1100	685
616	1101	683
617	1102	681
618	1104	679
619	1105	677
620	1106	675
621	1107	673
622	1108	671
623	1110	668
624	1111	666
625	1112	664
626	1113	662
627	1114	660
628	1115	657
629	1117	656
630	1118	654
631	1119	652
632	1120	649
633	1121	647
634	1123	645
635	1124	643
636	1125	641
637	1126	639
638	1127	637
639	1128	634
640	1130	632
641	1131	631
642	1133	629
643	1134	627
644	1135	624
645	1136	622
646	1137	620
647	1138	618
648	1139	616
649	1140	614
650	1142	612
651	1143	610
652	1144	608
653	1145	606
654	1147	604
655	1148	602
656	1149	600
657	1150	598
658	1151	596
659	1153	594
660	1154	592
661	1155	590
662	1156	588
663	1157	585
664	1158	583
665	1160	581
666	1161	579
667	1163	578
668	1164	576
669	1165	574
670	1167	572
671	1168	570
672	1169	568
673	1170	566
674	1171	563
675	1172	562
676	1174	560
677	1175	558
678	1177	556
679	1178	554
680	1179	552
681	1180	550
682	1181	548
683	1182	546
684	1183	544
685	1185	542
686	1186	540
687	1187	538
688	1188	536
689	1189	534
690	1191	532
691	1192	530
692	1193	528
693	1194	526
694	1195	524
695	1197	522
696	1198	520
697	1199	518
698	1200	516
699	1201	514
700	1202	512
701	1203	510
702	1205	509
703	1207	507
704	1208	505
705	1208	503
706	1209	501
707	1211	499
708	1212	497
709	1213	495
710	1214	493
711	1216	491
712	1217	490
713	1218	488
714	1220	486
715	1222	484
716	1223	483
717	1224	481
718	1225	479
719	1226	477
720	1227	475
721	1228	473
722	1230	471
723	1231	469
724	1232	467
725	1233	465
726	1234	463
727	1236	462
728	1238	460
729	1239	458
730	1240	456
731	1241	454
732	1242	452
733	1243	450
734	1244	448
735	1245	446
736	1246	444
737	1247	442
738	1248	441
739	1250	439
740	1251	437
741	1252	435
742	1253	433
743	1254	431
744	1255	429
745	1256	427
746	1258	426
747	1259	424
748	1261	422
749	1262	420
750	1263	418
751	1265	417
752	1266	415
753	1268	413
754	1269	412
755	1271	410
756	1272	408
757	1273	406
758	1274	404
759	1276	402
760	1277	401
761	1278	399
762	1281	397
763	1282	396
764	1283	394
765	1285	392
766	1286	390
767	1287	389
768	1288	387
769	1290	385
770	1291	383
771	1293	381
772	1295	380
773	1297	378
774	1298	377
775	1300	375
776	1301	373
777	1302	371
778	1303	369
779	1304	368
780	1306	366
781	1307	364
782	1308	362
783	1310	360
784	1311	359
785	1312	357
786	1313	355
787	1315	353
788	1316	352
789	1318	350
790	1319	348
791	1320	346
792	1321	344
793	1322	343
794	1324	341
795	1325	339
796	1326	337
797	1327	336
798	1328	334
799	1332	333
800	1333	331
801	1334	329
802	1335	327
803	1337	325
804	1338	324
805	1339	322
806	1340	320
807	1342	318
808	1343	317
809	1345	315
810	1347	313
811	1348	312
812	1349	310
813	1350	308
814	1352	306
815	1353	305
816	1355	303
817	1357	301
818	1358	300
819	1360	298
820	1361	296
821	1362	294
822	1363	293
823	1364	291
824	1366	289
825	1368	288
826	1369	286
827	1370	284
828	1371	282
829	1373	281
830	1376	279
831	1377	278
832	1378	276
833	1380	274
834	1381	272
835	1382	271
836	1384	269
837	1386	268
838	1387	266
839	1389	264
840	1390	262
841	1391	261
842	1392	259
843	1393	257
844	1394	255
845	1396	254
846	1397	252
847	1398	250
848	1399	248
849	1400	247
850	1401	245
851	1403	243
852	1404	242
853	1405	240
854	1406	238
855	1407	236
856	1408	235
857	1409	233
858	1411	231
859	1412	229
860	1413	228
861	1414	226
862	1415	224
863	1417	223
864	1418	221
865	1419	219
866	1420	217
867	1421	216
868	1422	214
869	1423	212
870	1424	211
871	1426	209
872	1427	207
873	1428	205
874	1429	204
875	1430	202
876	1432	200
877	1433	199
878	1434	197
879	1435	195
880	1436	193
881	1437	192
882	1438	190
883	1439	188
884	1440	187
885	1441	185
886	1443	183
887	1444	182
888	1445	180
889	1446	178
890	1448	177
891	1449	175
892	1450	173
893	1451	172
894	1452	170
895	1454	168
896	1455	167
897	1456	165
898	1457	163
899	1458	162
900	1460	160
901	1461	158
902	1462	157
903	1463	155
904	1465	153
905	1466	152
906	1467	150
907	1468	148
908	1470	147
909	1471	145
910	1472	143
911	1473	142
912	1474	140
913	1475	138
914	1476	137
915	1477	135
916	1478	133
917	1479	132
918	1480	130
919	1481	128
920	1482	127
921	1484	125
922	1485	123
923	1486	122
924	1487	120
925	1488	118
926	1489	117
927	1491	115
928	1492	114
929	1493	112
930	1494	110
931	1495	109
932	1496	107
933	1498	105
934	1499	104
935	1501	102
936	1502	101
937	1503	99
938	1504	97
939	1506	96
940	1507	94
941	1508	92
942	1509	91
943	1510	89
944	1511	87
945	1512	86
946	1514	84
947	1515	83
948	1516	81
949	1517	79
950	1519	78
951	1520	76
952	1521	75
953	1523	73
954	1524	71
955	1526	70
956	1528	68
957	1529	67
958	1530	65
959	1531	63
960	1532	62
961	1533	60
962	1534	58
963	1536	57
964	1537	55
965	1538	54
966	1539	52
967	1540	50
968	1541	49
969	1543	47
970	1544	46
971	1545	44
972	1546	42
973	1548	41
974	1549	39
975	1550	38
976	1551	36
977	1552	34
978	1553	33
979	1554	31
980	1555	30
981	1556	28
982	1558	26
983	1559	25
984	1560	23
985	1561	22
986	1562	20
987	1563	18
988	1564	17
989	1565	15
990	1566	14
991	1567	12
992	1568	11
993	1569	9
994	1570	7
995	1572	6
996	1573	4
997	1574	3
998	1576	1
999	1577	0
